Fecha,Hora,caudal m3 chamiza
15/02/2022,20:43,2.024
15/02/2022,21:13,2.024
15/02/2022,21:43,2.024
15/02/2022,22:13,2.024
15/02/2022,22:43,2.024
15/02/2022,23:13,2.024
15/02/2022,23:43,2.024
16/02/2022,00:13,2.024
16/02/2022,00:43,2.024
16/02/2022,01:13,2.024
16/02/2022,01:43,2.024
16/02/2022,02:13,2.024
16/02/2022,02:43,2.024
16/02/2022,03:13,2.024
16/02/2022,03:43,2.024
16/02/2022,04:13,2.024
16/02/2022,04:43,2.024
16/02/2022,05:13,2.024
16/02/2022,05:43,2.024
16/02/2022,06:13,2.024
16/02/2022,06:43,2.024
16/02/2022,07:13,2.024
16/02/2022,07:43,2.024
16/02/2022,08:13,2.024
16/02/2022,08:43,2.024
16/02/2022,09:13,2.024
16/02/2022,09:43,2.024
16/02/2022,10:13,2.024
16/02/2022,10:43,2.024
16/02/2022,11:13,2.024
16/02/2022,11:43,2.024
16/02/2022,12:13,2.024
16/02/2022,12:43,2.024
16/02/2022,13:13,2.024
16/02/2022,13:43,2.024
16/02/2022,14:13,2.024
16/02/2022,14:43,2.024
16/02/2022,15:13,2.024
16/02/2022,15:43,2.024
16/02/2022,16:13,2.024
16/02/2022,16:43,2.024
16/02/2022,17:13,2.024
16/02/2022,17:43,2.024
16/02/2022,18:13,2.024
16/02/2022,18:43,2.024
16/02/2022,19:13,2.024
16/02/2022,19:43,2.024
16/02/2022,20:13,2.024
16/02/2022,20:43,2.024
16/02/2022,21:13,2.024
16/02/2022,21:43,2.024
16/02/2022,22:13,2.024
16/02/2022,22:43,2.024
16/02/2022,23:13,2.024
16/02/2022,23:43,2.024
17/02/2022,00:13,2.024
17/02/2022,00:43,2.024
17/02/2022,01:13,2.024
17/02/2022,01:43,2.024
17/02/2022,02:13,2.024
17/02/2022,02:43,2.024
17/02/2022,03:13,2.024
17/02/2022,03:43,2.024
17/02/2022,04:13,2.024
17/02/2022,04:43,2.024
17/02/2022,05:13,2.024
17/02/2022,05:43,2.024
17/02/2022,06:13,2.024
17/02/2022,06:43,2.024
17/02/2022,07:13,2.024
17/02/2022,07:43,2.024
17/02/2022,08:13,2.024
17/02/2022,08:43,2.024
17/02/2022,09:13,2.024
17/02/2022,09:43,2.024
17/02/2022,10:13,2.024
17/02/2022,10:43,2.024
17/02/2022,11:13,2.024
17/02/2022,11:43,2.024
17/02/2022,12:13,2.024
17/02/2022,12:43,2.024
17/02/2022,13:13,2.024
17/02/2022,13:43,2.024
17/02/2022,14:13,2.024
17/02/2022,14:43,2.024
17/02/2022,15:13,2.024
17/02/2022,15:43,2.024
17/02/2022,16:13,2.024
17/02/2022,16:43,2.024
17/02/2022,17:13,2.024
17/02/2022,17:43,2.024
17/02/2022,18:13,2.024
17/02/2022,18:43,2.024
17/02/2022,19:13,2.024
17/02/2022,19:43,2.024
17/02/2022,20:13,2.024
17/02/2022,20:43,2.024
17/02/2022,21:13,2.024
17/02/2022,21:43,2.024
17/02/2022,22:13,2.024
17/02/2022,22:43,2.024
17/02/2022,23:13,2.024
17/02/2022,23:43,2.024
18/02/2022,00:13,2.024
18/02/2022,00:43,2.024
18/02/2022,01:13,2.024
18/02/2022,01:43,2.024
18/02/2022,02:13,2.024
18/02/2022,02:43,2.024
18/02/2022,03:13,2.024
18/02/2022,03:43,1.876
18/02/2022,04:13,1.876
18/02/2022,04:43,1.876
18/02/2022,05:13,2.024
18/02/2022,05:43,1.876
18/02/2022,06:13,1.876
18/02/2022,06:43,1.876
18/02/2022,07:13,1.876
18/02/2022,07:43,1.876
18/02/2022,08:13,1.876
18/02/2022,08:43,1.876
18/02/2022,09:13,1.876
18/02/2022,09:43,1.876
18/02/2022,10:13,1.876
18/02/2022,10:43,1.876
18/02/2022,11:13,1.876
18/02/2022,11:43,1.876
18/02/2022,12:13,1.876
18/02/2022,12:43,1.876
18/02/2022,13:13,1.876
18/02/2022,13:43,1.876
18/02/2022,14:13,1.876
18/02/2022,14:43,1.876
18/02/2022,15:13,1.876
18/02/2022,15:43,1.876
18/02/2022,16:13,1.876
18/02/2022,16:43,1.876
18/02/2022,17:13,1.876
18/02/2022,17:43,1.876
18/02/2022,18:13,1.876
18/02/2022,18:43,1.876
18/02/2022,19:13,1.876
18/02/2022,19:43,1.876
18/02/2022,20:13,1.876
18/02/2022,20:43,1.876
18/02/2022,21:13,1.876
18/02/2022,22:43,1.876
18/02/2022,23:13,1.876
18/02/2022,23:43,1.876
19/02/2022,00:13,1.876
19/02/2022,00:43,1.876
19/02/2022,01:13,1.876
19/02/2022,01:43,1.876
19/02/2022,02:13,1.876
19/02/2022,02:43,1.876
19/02/2022,03:13,1.876
19/02/2022,03:43,1.876
19/02/2022,04:13,1.876
19/02/2022,04:43,1.876
19/02/2022,05:13,1.876
19/02/2022,05:43,1.876
19/02/2022,06:13,1.876
19/02/2022,06:43,1.876
19/02/2022,07:13,1.876
19/02/2022,07:43,1.876
19/02/2022,08:13,1.876
19/02/2022,08:43,1.876
19/02/2022,09:13,1.876
19/02/2022,09:43,1.876
19/02/2022,10:13,1.876
19/02/2022,10:43,1.876
19/02/2022,11:13,1.876
19/02/2022,11:43,1.876
19/02/2022,12:13,1.876
19/02/2022,12:43,1.876
19/02/2022,13:13,2.024
19/02/2022,13:43,2.024
19/02/2022,14:13,2.024
19/02/2022,14:43,2.024
19/02/2022,15:13,2.024
19/02/2022,15:43,2.024
19/02/2022,16:13,2.172
19/02/2022,16:43,2.172
19/02/2022,17:13,2.172
19/02/2022,17:43,2.320
19/02/2022,18:13,2.320
19/02/2022,18:43,2.172
19/02/2022,19:13,2.172
19/02/2022,19:43,2.172
19/02/2022,20:13,2.172
19/02/2022,20:43,2.172
19/02/2022,21:13,2.320
19/02/2022,21:43,2.320
19/02/2022,22:13,2.320
19/02/2022,22:43,2.468
19/02/2022,23:13,2.468
19/02/2022,23:43,2.468
20/02/2022,00:13,2.645
20/02/2022,00:43,2.645
20/02/2022,01:13,2.821
20/02/2022,01:43,2.998
20/02/2022,02:13,2.998
20/02/2022,02:43,2.998
20/02/2022,03:13,3.174
20/02/2022,03:43,3.351
20/02/2022,04:13,3.351
20/02/2022,04:43,3.556
20/02/2022,05:13,3.556
20/02/2022,05:43,3.351
20/02/2022,06:13,3.351
20/02/2022,06:43,3.351
20/02/2022,07:13,3.351
20/02/2022,07:43,3.351
20/02/2022,08:13,3.174
20/02/2022,08:43,3.174
20/02/2022,09:13,3.174
20/02/2022,09:43,3.174
20/02/2022,10:13,2.998
20/02/2022,10:43,2.998
20/02/2022,11:13,2.998
20/02/2022,11:43,2.821
20/02/2022,12:13,2.821
20/02/2022,12:43,2.821
20/02/2022,13:13,2.821
20/02/2022,13:43,2.821
20/02/2022,14:13,2.821
20/02/2022,14:43,2.645
20/02/2022,15:13,2.645
20/02/2022,15:43,2.645
20/02/2022,16:13,2.645
20/02/2022,16:43,2.645
20/02/2022,17:13,2.645
20/02/2022,17:43,2.468
20/02/2022,18:13,2.468
20/02/2022,18:43,2.468
20/02/2022,19:13,2.468
20/02/2022,19:43,2.468
20/02/2022,20:13,2.468
20/02/2022,20:43,2.468
20/02/2022,21:13,2.468
20/02/2022,21:43,2.468
20/02/2022,22:13,2.468
20/02/2022,22:43,2.468
20/02/2022,23:13,2.468
20/02/2022,23:43,2.468
21/02/2022,00:13,2.320
21/02/2022,00:43,2.320
21/02/2022,01:13,2.320
21/02/2022,01:43,2.320
21/02/2022,02:13,2.320
21/02/2022,02:43,2.320
21/02/2022,03:13,2.320
21/02/2022,03:43,2.320
21/02/2022,04:13,2.320
21/02/2022,04:43,2.320
21/02/2022,05:13,2.320
21/02/2022,05:43,2.320
21/02/2022,06:13,2.320
21/02/2022,06:43,2.320
21/02/2022,07:13,2.320
21/02/2022,07:43,2.320
21/02/2022,08:13,2.320
21/02/2022,08:43,2.320
21/02/2022,09:13,2.320
21/02/2022,09:43,2.320
21/02/2022,10:13,2.320
21/02/2022,10:43,2.320
21/02/2022,11:13,2.320
21/02/2022,11:43,2.172
21/02/2022,12:13,2.172
21/02/2022,12:43,2.172
21/02/2022,13:13,2.172
21/02/2022,13:43,2.172
21/02/2022,14:13,2.172
21/02/2022,14:43,2.172
21/02/2022,15:13,2.172
21/02/2022,15:43,2.172
21/02/2022,16:13,2.172
21/02/2022,16:43,2.172
21/02/2022,17:13,2.172
21/02/2022,17:43,2.172
21/02/2022,18:13,2.172
21/02/2022,18:43,2.172
21/02/2022,19:13,2.172
21/02/2022,19:43,2.172
21/02/2022,20:13,2.172
21/02/2022,20:43,2.172
21/02/2022,21:13,2.172
21/02/2022,21:43,2.172
21/02/2022,22:13,2.172
21/02/2022,22:43,2.172
21/02/2022,23:13,2.172
21/02/2022,23:43,2.172
22/02/2022,00:13,2.172
22/02/2022,00:43,2.172
22/02/2022,01:13,2.172
22/02/2022,01:43,2.172
22/02/2022,02:13,2.024
22/02/2022,02:43,2.024
22/02/2022,03:13,2.024
22/02/2022,03:43,2.024
22/02/2022,04:13,2.024
22/02/2022,04:43,2.024
22/02/2022,05:13,2.024
22/02/2022,05:43,2.024
22/02/2022,06:13,2.024
22/02/2022,06:43,2.024
22/02/2022,07:13,2.024
22/02/2022,07:43,2.024
22/02/2022,08:13,2.024
22/02/2022,08:43,2.024
22/02/2022,09:13,2.024
22/02/2022,09:43,2.024
22/02/2022,10:13,2.024
22/02/2022,10:43,2.024
22/02/2022,11:13,2.024
22/02/2022,11:43,2.024
22/02/2022,12:13,2.024
22/02/2022,12:43,2.024
22/02/2022,13:13,2.024
22/02/2022,13:43,2.024
22/02/2022,14:13,2.024
22/02/2022,14:43,2.024
22/02/2022,15:13,2.024
22/02/2022,15:43,2.024
22/02/2022,16:13,2.024
22/02/2022,16:43,2.024
22/02/2022,17:13,2.024
22/02/2022,17:43,2.024
22/02/2022,18:13,2.024
22/02/2022,18:43,2.024
22/02/2022,19:13,2.024
22/02/2022,19:43,2.024
22/02/2022,20:13,2.024
22/02/2022,20:43,2.024
22/02/2022,21:13,2.024
22/02/2022,21:43,2.024
22/02/2022,22:13,2.024
22/02/2022,22:43,2.024
22/02/2022,23:13,2.024
22/02/2022,23:43,2.024
23/02/2022,00:13,2.024
23/02/2022,00:43,2.024
23/02/2022,01:13,2.024
23/02/2022,01:43,2.024
23/02/2022,02:13,2.024
23/02/2022,02:43,2.024
23/02/2022,03:13,2.024
23/02/2022,03:43,2.024
23/02/2022,04:13,2.024
23/02/2022,04:43,2.024
23/02/2022,05:13,2.024
23/02/2022,05:43,2.024
23/02/2022,06:13,2.024
23/02/2022,06:43,2.024
23/02/2022,07:13,2.024
23/02/2022,07:43,2.024
23/02/2022,08:13,2.024
23/02/2022,08:43,2.024
23/02/2022,09:13,2.024
23/02/2022,09:43,2.024
23/02/2022,10:13,2.024
23/02/2022,10:43,2.024
23/02/2022,11:13,2.024
23/02/2022,11:43,2.024
23/02/2022,12:13,2.024
23/02/2022,12:43,2.024
23/02/2022,13:13,2.024
23/02/2022,13:43,2.024
23/02/2022,14:13,2.024
23/02/2022,14:43,2.024
23/02/2022,15:13,2.024
23/02/2022,15:43,2.024
23/02/2022,16:13,2.024
23/02/2022,16:43,2.024
23/02/2022,17:13,2.024
23/02/2022,17:43,2.024
23/02/2022,18:13,2.024
23/02/2022,18:43,2.024
23/02/2022,19:13,2.024
23/02/2022,19:43,2.024
23/02/2022,20:13,2.172
23/02/2022,20:43,2.172
23/02/2022,21:13,2.172
23/02/2022,21:43,2.172
