Fecha,Hora,caudal m3 chamiza
23/02/2022,22:13,2.172
23/02/2022,22:43,2.172
23/02/2022,23:13,2.172
23/02/2022,23:43,2.172
24/02/2022,00:13,2.172
24/02/2022,00:43,2.320
24/02/2022,01:13,2.320
24/02/2022,01:43,2.468
24/02/2022,02:13,2.645
24/02/2022,02:43,2.645
24/02/2022,03:13,2.645
24/02/2022,03:43,2.645
24/02/2022,04:13,2.645
24/02/2022,04:43,2.645
24/02/2022,05:13,2.645
24/02/2022,05:43,2.645
24/02/2022,06:13,2.645
24/02/2022,06:43,2.645
24/02/2022,07:13,2.645
24/02/2022,07:43,2.645
24/02/2022,08:13,2.645
24/02/2022,08:43,2.645
24/02/2022,09:13,2.645
24/02/2022,09:43,2.645
24/02/2022,10:13,2.645
24/02/2022,10:43,2.645
24/02/2022,11:13,2.645
24/02/2022,11:43,2.645
24/02/2022,12:13,2.645
24/02/2022,12:43,2.645
24/02/2022,13:13,2.645
24/02/2022,13:43,2.645
24/02/2022,14:13,2.645
24/02/2022,14:43,2.645
24/02/2022,15:13,2.645
24/02/2022,15:43,2.821
24/02/2022,16:13,2.645
24/02/2022,16:43,2.645
24/02/2022,17:13,2.645
24/02/2022,17:43,2.645
24/02/2022,18:13,2.645
24/02/2022,18:43,2.645
24/02/2022,19:13,2.645
24/02/2022,19:43,2.645
24/02/2022,20:13,2.645
24/02/2022,20:43,2.645
24/02/2022,21:13,2.645
24/02/2022,21:43,2.645
24/02/2022,22:13,2.821
24/02/2022,22:43,2.821
24/02/2022,23:13,2.821
24/02/2022,23:43,2.821
25/02/2022,00:13,2.821
25/02/2022,00:43,2.821
25/02/2022,01:13,2.821
25/02/2022,01:43,2.821
25/02/2022,02:13,2.821
25/02/2022,02:43,2.821
25/02/2022,03:13,2.821
25/02/2022,03:43,2.821
25/02/2022,04:13,2.998
25/02/2022,04:43,2.998
25/02/2022,05:13,2.998
25/02/2022,05:43,2.998
25/02/2022,06:13,2.998
25/02/2022,06:43,3.174
25/02/2022,07:13,3.174
25/02/2022,07:43,3.174
25/02/2022,08:13,3.351
25/02/2022,08:43,3.351
25/02/2022,09:13,3.556
25/02/2022,09:43,3.556
25/02/2022,10:13,3.556
25/02/2022,10:43,3.556
25/02/2022,11:13,3.556
25/02/2022,11:43,3.351
25/02/2022,12:13,3.351
25/02/2022,12:43,3.351
25/02/2022,13:13,3.351
25/02/2022,13:43,3.351
25/02/2022,14:13,3.351
25/02/2022,14:43,3.351
25/02/2022,15:13,3.174
25/02/2022,15:43,3.174
25/02/2022,16:13,3.174
25/02/2022,16:43,3.174
25/02/2022,17:13,2.998
25/02/2022,17:43,2.998
25/02/2022,18:13,2.998
25/02/2022,18:43,2.998
25/02/2022,19:13,2.998
25/02/2022,19:43,3.174
25/02/2022,20:13,3.174
25/02/2022,20:43,3.174
25/02/2022,21:13,3.174
25/02/2022,21:43,3.174
25/02/2022,22:13,3.174
25/02/2022,22:43,3.174
25/02/2022,23:13,3.174
25/02/2022,23:43,3.174
26/02/2022,00:13,3.174
26/02/2022,00:43,3.174
26/02/2022,01:13,3.174
26/02/2022,01:43,3.351
26/02/2022,02:13,3.351
26/02/2022,02:43,3.556
26/02/2022,03:13,3.762
26/02/2022,03:43,3.967
26/02/2022,04:13,4.173
26/02/2022,04:43,4.173
26/02/2022,05:13,4.378
26/02/2022,05:43,4.612
26/02/2022,06:13,4.846
26/02/2022,06:43,5.081
26/02/2022,07:13,5.081
26/02/2022,07:43,5.081
26/02/2022,08:13,5.081
26/02/2022,08:43,5.081
26/02/2022,09:13,4.846
26/02/2022,09:43,4.846
26/02/2022,10:13,4.846
26/02/2022,10:43,4.612
26/02/2022,11:13,4.612
26/02/2022,11:43,4.612
26/02/2022,12:13,4.378
26/02/2022,12:43,4.378
26/02/2022,13:13,4.378
26/02/2022,13:43,4.378
26/02/2022,14:13,4.173
26/02/2022,14:43,4.173
26/02/2022,15:13,4.173
26/02/2022,15:43,4.173
26/02/2022,16:13,3.967
26/02/2022,16:43,3.967
26/02/2022,17:13,3.967
26/02/2022,17:43,3.967
26/02/2022,18:13,3.762
26/02/2022,18:43,3.762
26/02/2022,19:13,3.762
26/02/2022,19:43,3.762
26/02/2022,20:13,3.762
26/02/2022,20:43,3.762
26/02/2022,21:13,3.556
26/02/2022,21:43,3.556
26/02/2022,22:13,3.556
26/02/2022,22:43,3.556
26/02/2022,23:13,3.556
26/02/2022,23:43,3.556
27/02/2022,00:13,3.556
27/02/2022,00:43,3.556
27/02/2022,01:13,3.556
27/02/2022,01:43,3.556
27/02/2022,02:13,3.556
27/02/2022,02:43,3.556
27/02/2022,03:13,3.556
27/02/2022,03:43,3.556
27/02/2022,04:13,3.556
27/02/2022,04:43,3.556
27/02/2022,05:13,3.556
27/02/2022,05:43,3.556
27/02/2022,06:13,3.556
27/02/2022,06:43,3.762
27/02/2022,07:13,3.762
27/02/2022,07:43,3.762
27/02/2022,08:13,4.173
27/02/2022,08:43,4.378
27/02/2022,09:13,4.846
27/02/2022,09:43,5.081
27/02/2022,10:13,5.315
27/02/2022,10:43,5.315
27/02/2022,11:13,5.549
27/02/2022,11:43,5.549
27/02/2022,12:13,5.812
27/02/2022,12:43,5.812
27/02/2022,13:13,6.075
27/02/2022,13:43,6.338
27/02/2022,14:13,6.864
27/02/2022,14:43,7.156
27/02/2022,15:13,7.156
27/02/2022,15:43,7.156
27/02/2022,16:13,7.447
27/02/2022,16:43,7.447
27/02/2022,17:13,7.156
27/02/2022,17:43,7.156
27/02/2022,18:13,7.156
27/02/2022,18:43,7.156
27/02/2022,19:13,6.864
27/02/2022,19:43,6.864
27/02/2022,20:13,6.601
27/02/2022,20:43,6.601
27/02/2022,21:13,6.601
27/02/2022,21:43,6.601
27/02/2022,22:13,6.601
27/02/2022,22:43,6.601
27/02/2022,23:13,6.338
27/02/2022,23:43,6.338
28/02/2022,00:13,6.338
28/02/2022,00:43,6.338
28/02/2022,01:13,6.338
28/02/2022,01:43,6.338
28/02/2022,02:13,6.601
28/02/2022,02:43,6.601
28/02/2022,03:13,6.601
28/02/2022,03:43,6.601
28/02/2022,04:13,6.601
28/02/2022,04:43,6.864
28/02/2022,05:13,6.864
28/02/2022,05:43,6.864
28/02/2022,06:13,7.156
28/02/2022,06:43,7.156
28/02/2022,07:13,7.447
28/02/2022,07:43,7.739
28/02/2022,08:13,7.739
28/02/2022,08:43,8.030
28/02/2022,09:13,8.322
28/02/2022,09:43,8.642
28/02/2022,10:13,8.642
28/02/2022,10:43,8.642
28/02/2022,11:13,8.642
28/02/2022,11:43,8.322
28/02/2022,12:13,8.322
28/02/2022,12:43,8.030
28/02/2022,13:13,8.030
28/02/2022,13:43,7.739
28/02/2022,14:13,7.739
28/02/2022,14:43,7.447
28/02/2022,15:13,7.447
28/02/2022,15:43,7.156
28/02/2022,16:13,7.156
28/02/2022,16:43,6.864
28/02/2022,17:13,6.864
28/02/2022,17:43,6.864
28/02/2022,18:13,6.601
28/02/2022,18:43,6.601
28/02/2022,19:13,6.338
28/02/2022,19:43,6.338
28/02/2022,20:13,6.075
28/02/2022,20:43,6.075
28/02/2022,21:13,6.075
28/02/2022,21:43,5.812
28/02/2022,22:13,5.812
28/02/2022,22:43,5.812
28/02/2022,23:13,5.549
28/02/2022,23:43,5.549
01/03/2022,00:13,5.549
01/03/2022,00:43,5.315
01/03/2022,01:13,5.315
01/03/2022,01:43,5.315
01/03/2022,02:13,5.081
01/03/2022,02:43,5.081
01/03/2022,03:13,5.081
01/03/2022,03:43,5.081
01/03/2022,04:13,4.846
01/03/2022,04:43,4.846
01/03/2022,05:13,4.846
01/03/2022,05:43,4.846
01/03/2022,06:13,4.846
01/03/2022,06:43,4.612
01/03/2022,07:13,4.612
01/03/2022,07:43,4.612
01/03/2022,08:13,4.612
01/03/2022,08:43,4.612
01/03/2022,09:13,4.612
01/03/2022,09:43,4.612
01/03/2022,10:13,4.612
01/03/2022,10:43,4.846
01/03/2022,11:13,4.846
01/03/2022,11:43,4.846
01/03/2022,12:13,5.081
01/03/2022,12:43,5.081
01/03/2022,13:13,5.315
01/03/2022,13:43,5.549
01/03/2022,14:13,6.338
01/03/2022,14:43,6.864
01/03/2022,15:13,7.739
01/03/2022,15:43,8.642
01/03/2022,16:13,9.604
01/03/2022,16:43,10.273
01/03/2022,17:13,10.622
01/03/2022,17:43,10.971
01/03/2022,18:13,11.320
01/03/2022,18:43,11.320
01/03/2022,19:13,12.047
01/03/2022,19:43,12.803
01/03/2022,20:13,13.181
01/03/2022,20:43,13.559
01/03/2022,21:13,13.966
01/03/2022,21:43,13.966
01/03/2022,22:13,13.966
01/03/2022,22:43,13.559
01/03/2022,23:13,12.803
01/03/2022,23:43,12.425
02/03/2022,00:13,12.047
02/03/2022,00:43,11.320
02/03/2022,01:13,10.971
02/03/2022,01:43,10.622
02/03/2022,02:13,10.273
02/03/2022,02:43,9.924
02/03/2022,03:13,9.604
02/03/2022,03:43,9.283
02/03/2022,04:13,9.283
02/03/2022,04:43,8.963
02/03/2022,05:13,8.642
02/03/2022,05:43,8.642
02/03/2022,06:13,8.322
02/03/2022,06:43,8.322
02/03/2022,07:13,8.030
02/03/2022,07:43,8.030
02/03/2022,08:13,7.739
02/03/2022,08:43,7.739
02/03/2022,09:13,7.739
02/03/2022,09:43,7.739
02/03/2022,10:13,7.739
02/03/2022,10:43,7.739
02/03/2022,11:13,7.739
02/03/2022,11:43,7.739
02/03/2022,12:13,8.030
02/03/2022,12:43,8.030
02/03/2022,13:13,8.322
02/03/2022,13:43,8.322
02/03/2022,14:13,8.642
02/03/2022,14:43,8.642
02/03/2022,15:13,8.642
02/03/2022,15:43,8.963
02/03/2022,16:13,8.963
02/03/2022,16:43,8.963
02/03/2022,17:13,8.642
02/03/2022,17:43,8.642
02/03/2022,18:13,8.642
02/03/2022,18:43,8.322
02/03/2022,19:13,8.322
02/03/2022,19:43,8.322
02/03/2022,20:13,8.030
02/03/2022,20:43,8.030
02/03/2022,21:13,7.739
02/03/2022,21:43,7.739
02/03/2022,22:13,7.739
02/03/2022,22:43,7.447
02/03/2022,23:13,7.447
02/03/2022,23:43,7.447
03/03/2022,00:13,7.156
03/03/2022,00:43,7.156
03/03/2022,01:13,7.156
03/03/2022,01:43,6.864
03/03/2022,02:13,6.864
03/03/2022,02:43,6.864
03/03/2022,03:13,6.601
03/03/2022,03:43,6.601
03/03/2022,04:13,6.601
03/03/2022,04:43,6.338
03/03/2022,05:13,6.338
03/03/2022,05:43,6.338
03/03/2022,06:13,6.075
03/03/2022,06:43,6.075
03/03/2022,07:13,6.075
03/03/2022,07:43,6.075
